name,key,description,member_labels,member_label_groups,fully_expanded_members,href
KPI_PROGRAM_HARDENING.GTS.FR-LGA,app,Import Label group through workloader,CSM_RBD_CYBERARK.MVS.ADMIN; APM_GTS_CYBERARK.YOGA.MAINFRAME; APM_GTS_CG.CITRIX.ACCESS.CHAIN; CSM_BCK_FRA.NETWORKER.GSC; CS_SEC_ANTIVIR.SEPM_ALL; APM_GTS_CG.FRA.AUTOSYS; CSM_BATCH_FRA.CONTROLM.BDDF; CSM_BCK_FRA.NETWORKER; CSM_CTX_FRA.CTX.PUBLISHED.DESKTOP; CSM_DEP_FRA.SCCM.CORP; CSM_GTS_FRA.NDG.MASTERING.INFRA; CSM_NET_FRA.PEPSY.ROUGE.DHCP; CSM_SEC_SEPM.WW; CTX_GCR_COMMON_DESKTOP-AG; CSM_RBD_CYBERARK.MVS.BUSU; CSM_BATCH_FRA.CONTROLM.BDDF.IAAS; APM_GTS_CG.FRA.AUTOSYS.IAAS,,APM_GTS_CG.FRA.AUTOSYS.IAAS; CSM_BCK_FRA.NETWORKER; CSM_GTS_FRA.NDG.MASTERING.INFRA; CSM_SEC_SEPM.WW; CSM_RBD_CYBERARK.MVS.BUSU; CSM_DEP_FRA.SCCM.CORP; APM_GTS_CYBERARK.YOGA.MAINFRAME; APM_GTS_CG.CITRIX.ACCESS.CHAIN; CS_SEC_ANTIVIR.SEPM_ALL; CSM_CTX_FRA.CTX.PUBLISHED.DESKTOP; CTX_GCR_COMMON_DESKTOP-AG; CSM_BATCH_FRA.CONTROLM.BDDF.IAAS; CSM_RBD_CYBERARK.MVS.ADMIN; CSM_BCK_FRA.NETWORKER.GSC; APM_GTS_CG.FRA.AUTOSYS; CSM_NET_FRA.PEPSY.ROUGE.DHCP; CSM_BATCH_FRA.CONTROLM.BDDF,/orgs/1/sec_policy/draft/label_groups/bc18e127-f3f8-429f-91e9-2523f3c3c1b3
KPI_SUB_ENTITY_RETAIL-ITIM.JVM-LGA,app,For KPI calculation purpose. Label group that contain Application Labels part of ITIM.JVM Sub-entity,APM_L1.SGRF_MCF.L1; APM_L1.SGRF_CRISTAL.PFP.ELAPS; APM_L1.SGRF_ETECE; APM_L3.SGRF.EUR_CG.ALISE.AIGUILLEUR; APM_L3.SGRF.EUR_CG.NAUPLIE; APM_L3.SGRF.EUR_CG.CRISTAL.PFP.ELAPS; APM_L3.SGRF.EUR_CG.ETECE; APM_L3.SGRF.EUR_CG.MCF; APM_L3.SWIFT.EUR_CG.SWIFT.SAG; APM_L3.SWIFT.EUR_CG.SWIFT.SFAP; APM_L3.SWIFT.EUR_CG.SWIFT.STARS; APM_L3.SWIFT.EUR_CG.SWIFT.SWING; APM_L1.SWIFT_SWIFT.STARS.L1; APM_L1.SWIFT_SWIFT.SWING.L1; APM_L1.SWIFT_SFAP; APM_L1.SWIFT_SAG; APM_L3.SWIFT.EUR_CG.SWIFT.INTIX; APM_L3.SWIFT.EUR_CG.SWIFT.AGI; APM_L3.SWIFT.EUR_CG.SWIFT.AWP; APM_L3.SWIFT.EUR_CG.SWIFT.MIW; APM_L3.SWIFT.EUR_CG.SWIFT.SCS; APM_L3.SGRF.EUR_CG.ETECE.IAAS,,APM_L1.SGRF_ETECE; APM_L3.SWIFT.EUR_CG.SWIFT.SAG; APM_L1.SWIFT_SWIFT.STARS.L1; APM_L3.SWIFT.EUR_CG.SWIFT.SCS; APM_L3.SGRF.EUR_CG.NAUPLIE; APM_L3.SGRF.EUR_CG.MCF; APM_L3.SWIFT.EUR_CG.SWIFT.SFAP; APM_L3.SWIFT.EUR_CG.SWIFT.INTIX; APM_L3.SWIFT.EUR_CG.SWIFT.AWP; APM_L3.SGRF.EUR_CG.ETECE.IAAS; APM_L1.SGRF_CRISTAL.PFP.ELAPS; APM_L3.SGRF.EUR_CG.CRISTAL.PFP.ELAPS; APM_L3.SWIFT.EUR_CG.SWIFT.SWING; APM_L1.SWIFT_SFAP; APM_L3.SWIFT.EUR_CG.SWIFT.MIW; APM_L1.SGRF_MCF.L1; APM_L3.SGRF.EUR_CG.ALISE.AIGUILLEUR; APM_L3.SGRF.EUR_CG.ETECE; APM_L3.SWIFT.EUR_CG.SWIFT.STARS; APM_L1.SWIFT_SWIFT.SWING.L1; APM_L1.SWIFT_SAG; APM_L3.SWIFT.EUR_CG.SWIFT.AGI,/orgs/1/sec_policy/draft/label_groups/c133d59f-287d-4378-b9c9-94358491cfc9
L3.LENOVO.EUR-LGA,app,,APM_L3.LENOVO.EUR_CG.HIGHWAY.L3.LENOVO.EUR,,APM_L3.LENOVO.EUR_CG.HIGHWAY.L3.LENOVO.EUR,/orgs/1/sec_policy/draft/label_groups/0d90c5f3-f2ab-4529-9eb2-b02595bb5043
WORKLOADS_L3.SGRF.EUR-LGA,app,Label Group for Critical Group Applications part of SGRF PRD,APM_L3.SGRF.EUR_CG.CDM.DFIN,,APM_L3.SGRF.EUR_CG.CDM.DFIN,/orgs/1/sec_policy/draft/label_groups/172488f0-4286-40f8-98ee-c6167f8feae3
DB.POSTGRE-LGR,role,,DB.PCP; DB.POSTGRE.GEN1,,DB.PCP; DB.POSTGRE.GEN1,/orgs/1/sec_policy/draft/label_groups/1b913b9e-5f05-448f-ae88-4e2ec68f56f2
KPI_ENTITY_GBIS-LGA,app,For KPI calculation purpose. Label Group that contain sub-label groups of GBIS entity,,KPI_SUB_ENTITY_GBIS-GBSU.REG-LGA;KPI_SUB_ENTITY_GBIS-GBSU.MAR-LGA;KPI_SUB_ENTITY_GBIS-MARK-LGA;KPI_SUB_ENTITY_GBIS-GBSU.FIC-LGA;KPI_SUB_ENTITY_GBIS-GBSU.CIO-LGA;KPI_SUB_ENTITY_GBIS-GBSU.PRE-LGA;KPI_SUB_ENTITY_GBIS-GBSU.EQD-LGA;KPI_SUB_ENTITY_GBIS-GBSU.CLD-LGA;KPI_SUB_ENTITY_GBIS-SGSS-LGA;KPI_SUB_ENTITY_GBIS-GBSU.FTB-LGA,APM_L3.GBTO.EUR_CG.EOLE.ALISE.GATE; APM_L3.GBTO.EUR_CG.SORA.IAAS; APM_L3.GBTO.AMER_CG.MONTRAN; APM_L1.GBTO_HIGHWAY; APM_L3.GBTO.EUR_AIRFLOW.CG.X.ONE.EUR; APM_L3.GBTO.EUR_CG.E.FUND.ORDER; APM_L3.GBTO.ASIA_CG.X.ONE.ASIA; APM_L3.GBTO.EUR_CG.MUREX.IAAS; APM_L3.GBTO.EUR_CG.BDR.IAAS; APM_GCR_PFI; APM_L1.GBTO_REPLAY; APM_L3.GBTO.AMER_CG.X.ONE.AMER; APM_L3.GBTO.ASIA_CG.ELIOT.ASIA; APM_L3.GBTO.EUR_CG.LOAN.IQ.IAAS; APM_L3.GBTO.EUR_CG.CBR.IAAS; APM_L3.GBTO.EUR_CG.ELIOT.EUR.IAAS; APM_GBTO_BANCS.CASH.BCH; MUT_GCR_ORACLE; APM_L1.GBTO_GL.APF.L1; APM_L3.GBTO_CASH.EUROPE; APM_L3.GBTO.EUR_CG.REPLAY; APM_L3.GBTO.EUR_CG.X.ONE.EUR; APM_GBTO_CHR.IDL.COCKPIT.IAAS; APM_GBTO_CHR.NCI.IAAS; APM_L3.GBTO.EUR_AIRFLOW.CG.X.ONE.EUR.IAAS; APM_L3.GBTO.EUR_CG.E.SETTLEMENT.IAAS; APM_L3.GBTO.EUR_CG.GSP.T2S; APM_GBTO_ISI; APM_L3.GBTO.EUR_CG.GL.APF; APM_L3.GBTO.EUR_CG.X.ONE.CL.EUR.IAAS; APM_GBTO_BANCS.CASH.BCH.IAAS; APM_GCR_E.CASH; APM_L3.HP.EUR_CG.HIGHWAY.L3.HP; APM_GBTO_CHR.IDL.COCKPIT; APM_GBTO_CHR.NCI; APM_L3.GBTO.EUR_CG.BACARDI; APM_L3.GBTO.EUR_CG.ELIOT.EUR; APM_GCR_SIB; MUT_SGSS_DLFR; APM_L3.GBTO.EUR_CG.GL.APF.IAAS; APM_L3.GBTO.EUR_CG.X.ONE.CL.EUR; APM_L3.GBTO.EUR_CG.MAESTRO.IAAS; APM_L1.GBTO_BACARDI; APM_L3.GBTO.EUR_CG.E.FUND.ORDER.IAAS; APM_L3.GBTO.EUR_CG.GSP.T2S.IAAS; APM_L1.GBTO_EOLE.ALISE.GATE.L1; APM_GBTO_CG.NG.OIB; APM_L3.SGRF.EUR_CG.CASH.EUROPE; APM_L1.GBTO_MONTRAN; APM_L3.GBTO.EUR_CG.MAESTRO; APM_L3.GBTO.EUR_CG.BACARDI.IAAS; APM_L1.GBTO_BDR; APM_GCR_OIB; APM_L3.GBTO.EUR_CG.LOAN.IQ; APM_L3.GBTO.EUR_CG.X.ONE.EUR.IAAS; APM_L3.LENOVO.EUR_CG.HIGHWAY.L3.LENOVO.EUR; APM_L1.GBTO_X.ONE.L1; APM_L3.GBTO.EUR_CG.MUREX; APM_GCR_BCA; APM_L3.GBTO.EUR_CG.E.SETTLEMENT; APM_L1.GBTO_LOAN.IQ; APM_L3.SABA.GBTO_CG.SABA.GL.APF; APM_L3.GBTO.EUR_CG.HIGHWAY.L3.GBTO.EUR; APM_GCR_SRG.BIR; APM_GCR_CLS.CONTROL.BRANCH; APM_L3.GBTO.EUR_CG.EOLE.ALISE.GATE.IAAS; APM_L1.GBTO_ELIOT.L1; APM_L3.GBTO.AMER_CG.ELIOT.AMER; APM_L3.SGRF.EUR_CG.CASH.EUROPE.IAAS; APM_L3.GBTO.EUR_CG.CBR; APM_L3.GBTO.EUR_CG.BDR; APM_GCR_PTF; APM_L3.GBTO.EUR_CG.SORA; APM_GCR_E.CASH.IAAS,/orgs/1/sec_policy/draft/label_groups/380286e2-bad2-47ff-a802-1d0d4233d9dd
KPI_PROGRAM_BCE.RECO.8.SEC.DVF-LGA,app,,APM_L3.EJBCA.EUR_CG.CMS; APM_L3.EJBCA.EUR_CG.EJBCA; APM_L3.EJBCA.EUR_CG.CRYPTO; APM_L3.NSAL3P.BSC.GTS_CG.VAULT.RP,,APM_L3.EJBCA.EUR_CG.CMS; APM_L3.EJBCA.EUR_CG.EJBCA; APM_L3.EJBCA.EUR_CG.CRYPTO; APM_L3.NSAL3P.BSC.GTS_CG.VAULT.RP,/orgs/1/sec_policy/draft/label_groups/f412ba44-9875-4c40-91fb-2d5f00d425c1
KPI_SUB_ENTITY_RESG-CFT-LGA,app,For KPI calculation purpose. Label group that contain Application Labels part of CFT Sub-entity,APM_L3.SGRF_COLOSS; APM_L1.SGRF_CDM.DFIN; APM_RCR_TDP; APM_L3.SGRF_SAFIR.CREDIT.RISK; APM_L3.SGRF.EUR_CG.COLOSS.ECX; APM_L3.SGRF_COLOSS.COL; APM_L3.SGRF.EUR_CG.COLOSS.FBI; APM_L3.SGRF.EUR_CG.SAFIR.CREDIT.RISK; APM_L3.SGRF.EUR_CG.ERG.EVOLAN.ERG; APM_L3.SGRF.EUR_CG.CDM.DFIN; APM_L3.SGRF.EUR_CG.BASYLIQ.BYQ; APM_L3.SGRF.EUR_CG.BASYLIQ.BBC; APM_L3.SGRF_BASYLIQ.TCT; APM_L3.SGRF.EUR_CG.NOSICA; APM_L3.SGRF.EUR_CG.ERG.EVOLAN.ERL; APM_L3.SGRF.EUR_CG.COLOSS.COL; APM_L3.FIGARO.EUR_CG.FIGARO; APM_L3.FIGARO.EUR_CG.FIGARO.IRSA; APM_L1.SGRF_SAFIR.CREDIT.RISK.L1; APM_CFT_CHR.TALKS; APM_GBTO_CHR.RFI; APM_GBTO_CHR.N-TIER; APM_CFT_LS.MINT; APM_CFT_CHR.SCREENING.ALERTS.STA; APM_CFT_LS.OSAM; APM_CFT_CHR.STAR; APM_CFT_CHR.AIMS.GEN1; APM_L3.SGRF.EUR_CG.CFT.CFY; APM_L3.SGRF.EUR_CG.NRG; APM_GBTO_CHR.ROOM; APM_CFT_CHR.GIZEH; APM_GBTO_CHR.N-TIER.IAAS; APM_L3.SGRF.EUR_CG.ERG.EVOLAN.ERG.IAAS; APM_GBTO_CHR.ROOM.IAAS; APM_CFT_CHR.SCREENING.ALERTS.STA.IAAS; APM_L3.SGRF.EUR_CG.COLOSS.COL.IAAS; APM_L3.SGRF.EUR_CG.SAFIR.CREDIT.RISK.IAAS; APM_L3.SGRF.EUR_CG.NOSICA.IAAS; APM_CFT_CHR.TALKS.IAAS; APM_CFT_LS.OSAM.IAAS; APM_L3.SGRF.EUR_CG.COLOSS.ECX.IAAS; APM_L3.SGRF.EUR_CG.BASYLIQ.BBC.IAAS; APM_CFT_LS.MINT.IAAS; APM_CFT_CHR.EXP,,APM_CFT_CHR.EXP; APM_L3.SGRF_COLOSS.COL; APM_L3.SGRF.EUR_CG.ERG.EVOLAN.ERG; APM_GBTO_CHR.N-TIER; APM_GBTO_CHR.ROOM; APM_L3.SGRF.EUR_CG.COLOSS.COL.IAAS; APM_L3.SGRF.EUR_CG.COLOSS.ECX.IAAS; APM_L3.SGRF.EUR_CG.BASYLIQ.BYQ; APM_CFT_LS.MINT; APM_CFT_CHR.SCREENING.ALERTS.STA; APM_CFT_CHR.STAR; APM_L3.SGRF.EUR_CG.ERG.EVOLAN.ERG.IAAS; APM_L3.SGRF_COLOSS; APM_L3.SGRF.EUR_CG.COLOSS.COL; APM_L3.FIGARO.EUR_CG.FIGARO.IRSA; APM_L1.SGRF_SAFIR.CREDIT.RISK.L1; APM_CFT_LS.OSAM; APM_L3.SGRF.EUR_CG.CFT.CFY; APM_GBTO_CHR.ROOM.IAAS; APM_CFT_CHR.SCREENING.ALERTS.STA.IAAS; APM_L3.SGRF.EUR_CG.BASYLIQ.BBC.IAAS; APM_L3.SGRF.EUR_CG.COLOSS.ECX; APM_L3.SGRF.EUR_CG.CDM.DFIN; APM_L3.SGRF_BASYLIQ.TCT; APM_L3.SGRF.EUR_CG.NOSICA; APM_GBTO_CHR.RFI; APM_CFT_CHR.AIMS.GEN1; APM_RCR_TDP; APM_L3.SGRF_SAFIR.CREDIT.RISK; APM_L3.SGRF.EUR_CG.SAFIR.CREDIT.RISK; APM_L3.SGRF.EUR_CG.ERG.EVOLAN.ERL; APM_L3.SGRF.EUR_CG.NOSICA.IAAS; APM_CFT_LS.OSAM.IAAS; APM_L3.SGRF.EUR_CG.COLOSS.FBI; APM_L3.SGRF.EUR_CG.BASYLIQ.BBC; APM_CFT_CHR.TALKS; APM_L3.SGRF.EUR_CG.NRG; APM_GBTO_CHR.N-TIER.IAAS; APM_L3.SGRF.EUR_CG.SAFIR.CREDIT.RISK.IAAS; APM_CFT_LS.MINT.IAAS; APM_L1.SGRF_CDM.DFIN; APM_L3.FIGARO.EUR_CG.FIGARO; APM_CFT_CHR.GIZEH; APM_CFT_CHR.TALKS.IAAS,/orgs/1/sec_policy/draft/label_groups/fef9638c-baba-4f04-a194-f2fc8038b7f8
L3.FIGARO.EUR-LGA,app,Label Group for Applications part of L3.FIGARO.EUR Zone,APM_L3.FIGARO.EUR_CG.FIGARO; APM_L3.FIGARO.EUR_CG.FIGARO.IRSA,,APM_L3.FIGARO.EUR_CG.FIGARO; APM_L3.FIGARO.EUR_CG.FIGARO.IRSA,/orgs/1/sec_policy/draft/label_groups/156754b4-3607-4f68-8d7d-01fa856b1a2f
L3.FIGARO.EUR.UAT-LGE,env,,HOM1; UAT; DEV,,HOM1; UAT; DEV,/orgs/1/sec_policy/draft/label_groups/a492af94-3bd9-4a0f-9414-cf0f61cf515a
KPI_ALL_DECOM_MANAGED.APP-LGA,app,Label Group for all decomissoned managed application labels,,,,/orgs/1/sec_policy/draft/label_groups/41e63a24-19ca-401a-be43-6d4250dabfa2
WORKLOADS_L3.GBTO.AMER-LGA,app,Label Group for Critical Group Applications part of GBTO.AMER Entity,,,,/orgs/1/sec_policy/draft/label_groups/50691ba1-2b7d-4640-8aee-5c2cddeb0be7
